lr,reg,hidden_dim,activation,val_acc
0.15,0.0001,64,relu,0.4468
0.15,0.0001,64,sigmoid,0.4376
0.15,0.0001,128,relu,0.4546
0.15,0.0001,128,sigmoid,0.4302
0.15,0.0001,256,relu,0.3906
0.15,0.0001,256,sigmoid,0.4578
0.15,0.001,64,relu,0.4176
0.15,0.001,64,sigmoid,0.4256
0.15,0.001,128,relu,0.4594
0.15,0.001,128,sigmoid,0.4270
0.15,0.001,256,relu,0.4554
0.15,0.001,256,sigmoid,0.4260
0.15,0.01,64,relu,0.3044
0.15,0.01,64,sigmoid,0.3454
0.15,0.01,128,relu,0.3484
0.15,0.01,128,sigmoid,0.3290
0.15,0.01,256,relu,0.3388
0.15,0.01,256,sigmoid,0.3398
0.1,0.0001,64,relu,0.4478
0.1,0.0001,64,sigmoid,0.4274
0.1,0.0001,128,relu,0.4936
0.1,0.0001,128,sigmoid,0.4294
0.1,0.0001,256,relu,0.4486
0.1,0.0001,256,sigmoid,0.4312
0.1,0.001,64,relu,0.3686
0.1,0.001,64,sigmoid,0.4266
0.1,0.001,128,relu,0.4634
0.1,0.001,128,sigmoid,0.4130
0.1,0.001,256,relu,0.4686
0.1,0.001,256,sigmoid,0.4140
0.1,0.01,64,relu,0.3962
0.1,0.01,64,sigmoid,0.3638
0.1,0.01,128,relu,0.4024
0.1,0.01,128,sigmoid,0.3630
0.1,0.01,256,relu,0.4124
0.1,0.01,256,sigmoid,0.3654
0.05,0.0001,64,relu,0.4600
0.05,0.0001,64,sigmoid,0.3864
0.05,0.0001,128,relu,0.4742
0.05,0.0001,128,sigmoid,0.3942
0.05,0.0001,256,relu,0.4558
0.05,0.0001,256,sigmoid,0.3928
0.05,0.001,64,relu,0.4430
0.05,0.001,64,sigmoid,0.3858
0.05,0.001,128,relu,0.4794
0.05,0.001,128,sigmoid,0.3878
0.05,0.001,256,relu,0.4532
0.05,0.001,256,sigmoid,0.3786
0.05,0.01,64,relu,0.4256
0.05,0.01,64,sigmoid,0.3510
0.05,0.01,128,relu,0.4252
0.05,0.01,128,sigmoid,0.3490
0.05,0.01,256,relu,0.3972
0.05,0.01,256,sigmoid,0.3536
0.01,0.0001,64,relu,0.3880
0.01,0.0001,64,sigmoid,0.2876
0.01,0.0001,128,relu,0.4020
0.01,0.0001,128,sigmoid,0.3044
0.01,0.0001,256,relu,0.4100
0.01,0.0001,256,sigmoid,0.3204
0.01,0.001,64,relu,0.3938
0.01,0.001,64,sigmoid,0.2892
0.01,0.001,128,relu,0.3960
0.01,0.001,128,sigmoid,0.3070
0.01,0.001,256,relu,0.4076
0.01,0.001,256,sigmoid,0.3172
0.01,0.01,64,relu,0.3832
0.01,0.01,64,sigmoid,0.2836
0.01,0.01,128,relu,0.3920
0.01,0.01,128,sigmoid,0.2904
0.01,0.01,256,relu,0.4004
0.01,0.01,256,sigmoid,0.3120
